WigleWifi-1.4,appRelease=2.26,model=ONEPLUS A3010,release=7.1.1,device=OnePlus3T,display=ONEPLUS A3010_28_171012,board=QC_Reference_Phone,brand=OnePlus
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
8c:0c:90:30:05:58,Ariel_University,[ESS],2017-11-01 14:32:40,11,-59,32.1043647,35.20460212,638,4.550999641418457,WIFI
8c:0c:90:2e:f0:d8,Ariel_University,[ESS],2017-11-01 14:32:40,1,-74,32.1043647,35.20460212,638,4.550999641418457,WIFI
8c:0c:90:ae:f0:d3,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:32:52,1,-72,32.10444352,35.20453609,650,4.550999641418457,WIFI
d8:38:0d:05:1a:b9,IP-COM_051AB8,[ESS],2017-11-01 14:32:52,4,-81,32.10444352,35.20453609,650,4.550999641418457,WIFI
24:c9:a1:35:aa:08,Ariel_University,[ESS],2017-11-01 14:32:52,11,-87,32.10444352,35.20453609,650,4.550999641418457,WIFI
24:c9:a1:36:55:f8,Ariel_University,[ESS],2017-11-01 14:32:54,11,-72,32.10448447,35.20453355,651,4.550999641418457,WIFI
24:c9:a1:36:2f:38,Ariel_University,[ESS],2017-11-01 14:32:54,1,-86,32.10448447,35.20453355,651,4.550999641418457,WIFI
a0:ab:1b:63:40:be,not_your_wifi,[WPA2-PSK-CCMP][ESS],2017-11-01 14:32:54,2,-96,32.10448447,35.20453355,651,4.550999641418457,WIFI
8c:0c:90:2f:ca:48,Ariel_University,[ESS],2017-11-01 14:32:54,11,-83,32.10448447,35.20453355,651,4.550999641418457,WIFI
42503_6701_4464091,Rami Levy,HSPA;il,2017-11-01 14:32:54,0,-71,32.10448447,35.20453355,651,4.550999641418457,GSM
24:c9:a1:35:a5:e8,Ariel_University,[ESS],2017-11-01 14:32:58,6,-82,32.10455633,35.20451013,652,4.550999641418457,WIFI
8c:0c:90:2e:f0:d8,Ariel_University,[ESS],2017-11-01 14:33:03,1,-66,32.10461132,35.2045443,652,4.550999641418457,WIFI
24:c9:a1:35:a5:e8,Ariel_University,[ESS],2017-11-01 14:33:03,6,-71,32.10461132,35.2045443,652,4.550999641418457,WIFI
6c:aa:b3:08:24:98,Ariel_University,[ESS],2017-11-01 14:33:03,6,-82,32.10461132,35.2045443,652,4.550999641418457,WIFI
24:c9:a1:35:a5:e8,Ariel_University,[ESS],2017-11-01 14:33:11,6,-64,32.10463178,35.20465976,652,4.550999641418457,WIFI
8c:0c:90:ae:e3:a3,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:33:23,6,-85,32.10464593,35.20482136,654,4.550999641418457,WIFI
8c:0c:90:6e:e3:a3,island-2EE3A0,[WPA2-PSK-CCMP][ESS],2017-11-01 14:33:23,6,-88,32.10464593,35.20482136,654,4.550999641418457,WIFI
24:c9:a1:35:d3:78,Ariel_University,[ESS],2017-11-01 14:33:23,1,-67,32.10464593,35.20482136,654,4.550999641418457,WIFI
8c:0c:90:2d:75:b8,Ariel_University,[ESS],2017-11-01 14:33:23,4,-82,32.10464593,35.20482136,654,4.550999641418457,WIFI
24:c9:a1:36:45:28,Ariel_University,[ESS],2017-11-01 14:33:23,1,-85,32.10464593,35.20482136,654,4.550999641418457,WIFI
24:c9:a1:36:45:28,Ariel_University,[ESS],2017-11-01 14:33:33,1,-76,32.10462687,35.20497135,655,4.550999641418457,WIFI
04:a1:51:13:2f:bb,bezeq,[WPA2-PSK-CCMP][WPS][ESS],2017-11-01 14:33:33,11,-80,32.10462687,35.20497135,655,4.550999641418457,WIFI
20:0c:c8:0c:10:67,lior,[WPA2-PSK-CCMP][WPS][ESS],2017-11-01 14:33:33,11,-85,32.10462687,35.20497135,655,4.550999641418457,WIFI
8c:0c:90:2f:2b:98,Ariel_University,[ESS],2017-11-01 14:33:33,6,-75,32.10462687,35.20497135,655,4.550999641418457,WIFI
8c:0c:90:ae:e3:a3,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:33:43,6,-74,32.10466981,35.20514147,654,4.550999641418457,WIFI
8c:0c:90:6e:e3:a3,island-2EE3A0,[WPA2-PSK-CCMP][ESS],2017-11-01 14:33:43,6,-68,32.10466981,35.20514147,654,4.550999641418457,WIFI
8c:0c:90:2d:75:b8,Ariel_University,[ESS],2017-11-01 14:33:43,4,-76,32.10466981,35.20514147,654,4.550999641418457,WIFI
8c:0c:90:2f:2b:98,Ariel_University,[ESS],2017-11-01 14:33:43,6,-68,32.10466981,35.20514147,654,4.550999641418457,WIFI
24:c9:a1:35:d3:68,Ariel_University,[ESS],2017-11-01 14:33:43,11,-62,32.10466981,35.20514147,654,4.550999641418457,WIFI
14:ae:db:39:f8:8d,ariel,[WPA2-PSK-CCMP][ESS],2017-11-01 14:33:50,6,-83,32.10469115,35.20525406,654,4.550999641418457,WIFI
8c:0c:90:2f:35:38,Ariel_University,[ESS],2017-11-01 14:33:50,1,-67,32.10469115,35.20525406,654,4.550999641418457,WIFI
24:c9:a1:33:34:68,Ariel_University,[ESS],2017-11-01 14:33:54,11,-63,32.10468691,35.20531865,654,4.550999641418457,WIFI
24:c9:a1:36:51:b8,Ariel_University,[ESS],2017-11-01 14:33:54,2,-89,32.10468691,35.20531865,654,4.550999641418457,WIFI
24:c9:a1:35:a6:98,Ariel_University,[ESS],2017-11-01 14:34:32,6,-74,32.10468337,35.20536971,655,4.550999641418457,WIFI
2c:5d:93:3e:f5:38,Ariel_University,[ESS],2017-11-01 14:34:32,6,-85,32.10468337,35.20536971,655,4.550999641418457,WIFI
24:c9:a1:35:a6:98,Ariel_University,[ESS],2017-11-01 14:34:43,6,-67,32.10469073,35.20552775,654,4.550999641418457,WIFI
42503_6701_4464091,Rami Levy,HSPA;il,2017-11-01 14:34:44,0,-77,32.10469153,35.20554491,654,4.550999641418457,GSM
a0:4f:d4:2b:11:c2,israela_5,[WPA2-PSK-CCMP][ESS],2017-11-01 14:34:54,52,-82,32.10470213,35.20571573,653,4.550999641418457,WIFI
00:ec:0a:cd:e9:32,Redmi,[WPA2-PSK-CCMP][ESS],2017-11-01 14:34:54,11,-81,32.10470213,35.20571573,653,4.550999641418457,WIFI
