Time,ID,Lat,Lon,Alt,#WiFi networks,SSID1,MAC1,Frequncy1,Signal1,SSID2,MAC2,Frequncy2,Signal2,SSID3,MAC3,Frequncy3,Signal3,SSID4,MAC4,Frequncy4,Signal4,SSID5,MAC5,Frequncy5,Signal5,SSID6,MAC6,Frequncy6,Signal6,SSID7,MAC7,Frequncy7,Signal7,SSID8,MAC8,Frequncy8,Signal8,SSID9,MAC9,Frequncy9,Signal9,SSID10,MAC10,Frequncy10,Signal10,
2017-11-01 15:42:20,model=ONEPLUS A3010,32.10426236,35.21136813,35.21136813,1,,1c:b9:c4:95:41:77,44,-60,
2017-11-01 14:26:02,model=ONEPLUS A3010,32.10436063,35.20456187,35.20456187,1,Ariel_University,24:c9:a1:33:3d:08,6,-76,
2017-11-01 17:04:53,model=ONEPLUS A3010,32.10494726,35.20658647,35.20658647,7,yinon,f0:25:b7:c5:4c:95,11,-76,,f0:b0:52:be:c7:a7,52,-70,Ariel_University,f0:b0:52:3e:c7:ac,52,-67,Ariel_University,f0:b0:52:3e:d8:e8,6,-63,Ariel_University,f0:b0:52:3e:d8:ec,36,-55,,f0:b0:52:be:d8:e7,36,-53,Ariel_University,f0:b0:52:3e:cc:18,11,-52,
2017-11-01 16:58:24,model=ONEPLUS A3010,32.1046624,35.20567889,35.20567889,3,Ariel_University,e0:10:7f:1a:b2:58,11,-85,Ariel_University,24:c9:a1:35:a6:98,6,-63,Ariel_University,8c:0c:90:2f:cc:38,11,-57,
2017-11-01 16:23:36,model=ONEPLUS A3010,32.10391194,35.20900188,35.20900188,4,Ariel_University,1c:b9:c4:16:1d:7c,52,-85,,1c:b9:c4:96:1d:77,52,-84,Ariel_University,1c:b9:c4:16:1d:78,11,-79,Ariel_University,1c:b9:c4:16:cc:d8,1,-68,
2017-11-01 16:57:50,model=ONEPLUS A3010,32.10467882,35.20518871,35.20518871,3,,8c:0c:90:af:35:33,1,-89,Ariel_University,8c:0c:90:2f:2b:98,6,-57,island-365C70,24:c9:a1:76:5c:73,11,-54,
2017-11-01 16:24:07,model=ONEPLUS A3010,32.10353894,35.20881572,35.20881572,1,Ariel_University,ec:8c:a2:08:94:18,1,-72,
2017-11-01 14:37:17,model=ONEPLUS A3010,32.10369894,35.20696385,35.20696385,3,DIRECT-56-HP DeskJet 3630 series,30:e1:71:0d:e0:57,6,-93,Ariel_University,ec:8c:a2:08:a3:bc,52,-91,Ariel_University,ec:8c:a2:08:7a:1c,48,-83,
2017-11-01 16:58:18,model=ONEPLUS A3010,32.10465827,35.20558865,35.20558865,1,Rami Levy,42503_6701_4464091,0,-75,
2017-11-01 14:37:25,model=ONEPLUS A3010,32.10360485,35.207005,35.207005,1,Rami Levy,42503_6701_4464091,0,-83,
2017-11-01 14:37:20,model=ONEPLUS A3010,32.1036534,35.20696595,35.20696595,2,,ec:8c:a2:88:a3:b7,52,-87,Ariel_University,ec:8c:a2:08:a3:b8,11,-85,
